ItemID,ItemName,FileName,FileNameTrim,,,,,,,,,Similar left,Similar right
23,Sony Noise Cancelling Headphones,sq_sony_headphones.png,sq_sony_headphones.png,,,,,,,,,,
24,Bike U-Lock,sq_bike_ulock.png,sq_bike_ulock.png,,,,,,,,,,
25,OralB Rechargeable Electric Toothbrush,sq_oralb_toothbrush.png,sq_oralb_toothbrush.png,,,,,,,,,,
26,Timex Weekender Watch,sq_timex_watch.png,sq_timex_watch.png,,,,,,,,,,
27,WoodWick Vanilla Candle,sq_vanilla_candle.png,sq_vanilla_candle.png,,,,,,,,,,
28,LED Dimmable Desk Lamp,sq_led_dimmable_lamp.png,sq_led_dimmable_lamp.png,,,,,,,,,,
29,Flexible Powerstrip,sq_pivot_flex_powerstrip.png,sq_pivot_flex_powerstrip.png,,,,,,,,,,
30,Apples to Apples Game,sq_apples.png,sq_apples.png,,,,,,,,,,
31,Crest 3D Whitestrips,sq_crest_whitestrips.png,sq_crest_whitestrips.png,,,,,,,,,,
32,Jay Z Poster,Jay z Poster.jpg,JayzPoster.jpg,,,,,,,,,,
33,Chalkboard Mural ,sq_94_chalkboardmural.png,sq_94_chalkboardmural.png,,,,,,,,,,
34,Under Armour Hustle Backpack,Under Armour backpack.png,UnderArmourbackpack.png,,,,,,,,,,
35,Coleman Quickbed ,Coleman quickbed.jpg,Colemanquickbed.jpg,,,,,,,,,,
36,Target $15 Gift Card,Target.jpg,Target.jpg,,,,,,,,,,
37,Bean Bag ,Bean bag.jpg,Beanbag.jpg,,,,,,,,,,
38,RAST 3 drawer chest,3 drawer chest.jpg,3drawerchest.jpg,,,,,,,,,,
39,One Month Spotify Subscription ,Spotify.jpg,Spotify.jpg,,,,,,,,,,
40,Threshold Square Glazed 16-piece Dinnerware Set,Dinnerware set.jpg,Dinnerwareset.jpg,,,,,,,,,,
41,Black & Decker - Dustbuster Bagless Cordless Hand Vac  ,Black and Decker hand vac.jpg,BlackandDeckerhandvac.jpg,,,,,,,,,,
42,SanDisk - Cruzer 16GB USB 2.0 Flash Drive ,SanDisk.jpg,SanDisk.jpg,,,,,,,,,,
43,Temple Owls Basic Arch T-Shirt ,temple shirt.jpg,templeshirt.jpg,,,,,,,,,,
44,Godiva Milk Chocolate Covered Strawberries ,Godiva strawberries.jpg,Godivastrawberries.jpg,,,,,,,,,,
45,One Month Chegg Membership,chegg.png,chegg.png,,,,,,,,,,
46,Olive Garden $40 Gift Card,olive-garden-gift-card.jpg,olive-garden-gift-card.jpg,,,,,,,,,,
47,Casio fx-300MS Scientific Calculator,casio calc.jpg,casiocalc.jpg,,,,,,,,,,
48,"Starbucks Double Wall Ceramic Traveler, 12 fl oz",Starbucks mug.jpg,Starbucksmug.jpg,,,,,,,,,,
49,Leather Bound Notebook,sq_leatherbound_notebook.png,sq_leatherbound_notebook.png,,,,,,,,,,
50,Orange Is the New Black Season 1,sq_oitnb_season1.png,sq_oitnb_season1.png,,,,,,,,,,
51,Logitech Wireless Trackball,sq_trackball.png,sq_trackball.png,,,,,,,,,,
52,Immersion Blender,sq_immersion_blender.png,sq_immersion_blender.png,,,,,,,,,,
53,FinePoint Sharpie Pens (12 count),sq_box_of_sharpies.png,sq_box_of_sharpies.png,,,,,,,,,,
54,Seventh Generation Laundry Detergent,sq_7thgen_laundry.png,sq_7thgen_laundry.png,,,,,,,,,,
55,T-fal Electric Kettle,sq_electric_kettle.png,sq_electric_kettle.png,,,,,,,,,,
56,Pur On-Faucet Filter,sq_pur_facuet.png,sq_pur_facuet.png,,,,,,,,,,
57,Nike Football,Football.jpg,Football.jpg,,,,,,,,,,
58,Game of Thrones Season 1,sq_game_of_thrones.png,sq_game_of_thrones.png,,,,,,,,,,
59,Thermos Insulated Water Bottle,sq_thermos_insulated.png,sq_thermos_insulated.png,,,,,,,,,,
60,Memory Foam Pillow,sq_mem_foam_pillow.png,sq_mem_foam_pillow.png,,,,,,,,,,
61,Levin Solstar Solar Charger,sq_solar_phone_charger.png,sq_solar_phone_charger.png,,,,,,,,,,
62,"Waiters Corkscrew by HiCoup - Premium Rosewood Handle All-in-one Corkscrew, Bottle Opener and Foil Cutter ",All in one bottle opener.png,Allinonebottleopener.png,,,,,,,,,,
63,Moonstruck Truffles,sq_moonstruck_chocolate.png,sq_moonstruck_chocolate.png,,,,,,,,,,
64,Maglite,sq_maglite.png,sq_maglite.png,,,,,,,,,,
65,Racer Armpocket ,Armpocket.png,Armpocket.png,,,,,,,,,,
66,Bormioli Tall glasses (set of 4),sq_tall_glasses.png,sq_tall_glasses.png,,,,,,,,,,
67,Ziploc Space Saver Bags,sq_space_saver_bags.png,sq_space_saver_bags.png,,,,,,,,,,
68,Portable Bluetooth Speaker,sq_portable_bluetooth_speaker.png,sq_portable_bluetooth_speaker.png,,,,,,,,,,
69,Procter-Silex Toaster,sq_21_toaster.png,sq_21_toaster.png,,,,,,,,,,
70,Philadelphia Phillies Authentic Collection Tech Fleece,Phillies Fleece.jpg,PhilliesFleece.jpg,,,,,,,,,,
71,RCA Wireless headphones,sq_RCA_wireless_headphones.png,sq_RCA_wireless_headphones.png,,,,,,,,,,
72,Kryptonite Keeper Chain Lock,sq_bike_chain_lock.png,sq_bike_chain_lock.png,,,,,,,,,,
73,Conair Waterpik,sq_conair_waterpik.png,sq_conair_waterpik.png,,,,,,,,,,
74,Puma Sport Watch,sq_puma_watch.png,sq_puma_watch.png,,,,,,,,,,
75,Meyers Lemon Verbena Candle,sq_meyers_candle.png,sq_meyers_candle.png,,,,,,,,,,
76,Fulcrum Flex LED Booklight,sq_fulcrum_booklight.png,sq_fulcrum_booklight.png,,,,,,,,,,
77,Accel PowerSquid,sq_powersquid.png,sq_powersquid.png,,,,,,,,,,
78,Jenga,sq_jenga.png,sq_jenga.png,,,,,,,,,,
79,BriteSmile Whitening Toothpaste,sq_britesmile.png,sq_britesmile.png,,,,,,,,,,
80,Pink Floyd Poster,Pink Floyd poster.jpg,PinkFloydposter.jpg,,,,,,,,,,
81,Quartet Dry Erase Board,sq_dry_erase_board.png,sq_dry_erase_board.png,,,,,,,,,,
82,SwissGear City Pack ,Swissgear backpack.png,Swissgearbackpack.png,,,,,,,,,,
83,Wenzel Summer Camp Bag 40 Deg ,Wenzel sleeping bag.jpg,Wenzelsleepingbag.jpg,,,,,,,,,,
84,Amazon $15 Gift Card ,Amazon.jpg,Amazon.jpg,,,,,,,,,,
85,Sherpa Chair ,Sherpa Chair.jpg,SherpaChair.jpg,,,,,,,,,,
86,Svira Hanging Storage with 7 Compartments,Svira Hanging Storage.jpg,SviraHangingStorage.jpg,,,,,,,,,,
87,Itunes $10 Gift Card ,Itunes.jpg,Itunes.jpg,,,,,,,,,,
88,Mudhut Marika Bowls Set of 4 ,bowls.jpg,bowls.jpg,,,,,,,,,,
89,Swiffer - Sweeper Floor/Mop Starter Kit,Swiffer.jpg,Swiffer.jpg,,,,,,,,,,
90,PNY - Micro Metal Attach 16GB USB Flash Drive,PNY.jpg,PNY.jpg,,,,,,,,,,
91,Black Temple Owls Arch Over Logo Hoodie ,temple hoodie.jpg,templehoodie.jpg,,,,,,,,,,
92,Edible Arrangements SIMPLY SWEET & SWIZZLED MIXED FRUIT ,EA chocolate dipped fruit.jpg,EAchocolatedippedfruit.jpg,,,,,,,,,,
93,One Month Netflix ,netflix.png,netflix.png,,,,,,,,,,
94,TGI Fridays $40 Gift Card ,TGI-Fridays-Gift-Card.jpg,TGI-Fridays-Gift-Card.jpg,,,,,,,,,,
95,Texas Instruments TI-30X IIS 2-Line Scientific Calculator,texas instruments.jpg,texasinstruments.jpg,,,,,,,,,,
96,"Starbucks Cold Cup, 16 fl oz",starbucks_cold_cup_16oz_KO.jpg,starbucks_cold_cup_16oz_KO.jpg,,,,,,,,,,
97,Quo Vadis Planner,sq_quo_vadis_planner.png,sq_quo_vadis_planner.png,,,,,,,,,,
98,"Mad Men, Season 6",sq_mad_men_6.png,sq_mad_men_6.png,,,,,,,,,,
99,Comfort Grip Mouse,sq_comfort_grip_mouse.png,sq_comfort_grip_mouse.png,,,,,,,,,,
100,Ninja Express Chop,sq_ninja_express_chop.png,sq_ninja_express_chop.png,,,,,,,,,,
101,Gel Ink Pens,sq_pilot_gel_ink_pens.png,sq_pilot_gel_ink_pens.png,,,,,,,,,,
102,Laundress Darks Detergent,sq_laundress_detergent.png,sq_laundress_detergent.png,,,,,,,,,,
103,French Press Coffee Maker,sq_french_press.png,sq_french_press.png,,,,,,,,,,
104,EveryDrop Water Filter ,sq_everydrop_filter.png,sq_everydrop_filter.png,,,,,,,,,,
105,Wilson Volleyball,Volleyball.jpg,Volleyball.jpg,,,,,,,,,,
106,Indiana Jones & Raiders of the Lost Ark,sq_indiana_jones.png,sq_indiana_jones.png,,,,,,,,,,
107,Vapur Water Anti-Bottle,sq_vapur_antibottle.png,sq_vapur_antibottle.png,,,,,,,,,,
108,Body Pillow,sq_body_pillow.png,sq_body_pillow.png,,,,,,,,,,
109,Volmate 3 port Car Charger,sq_car_phone_charger.png,sq_car_phone_charger.png,,,,,,,,,,
110,Red Open Bottle Here Starr X Wall Mount Bottle Opener,Wall mounted opener.jpg,Wallmountedopener.jpg,,,,,,,,,,
111,Leilalove Macarons,sq_leilalove_macarons.png,sq_leilalove_macarons.png,,,,,,,,,,
112,Mini Cree Flashlight,sq_mini_cree_torch.png,sq_mini_cree_torch.png,,,,,,,,,,
113,Nike Armband for iPhone 5/5s,nike armband.jpg,nikearmband.jpg,,,,,,,,,,
114,Curva Double Walled glasses,sq_Curva_doublewall_glasses.png,sq_Curva_doublewall_glasses.png,,,,,,,,,,
115,Go Toob Packing Tubes,sq_gotoob.png,sq_gotoob.png,,,,,,,,,,
116,Kinivo_portable_speaker,sq_kinivo_speakers.png,sq_kinivo_speakers.png,,,,,,,,,,
117,Panini Press,sq_145_paninipress.png,sq_145_paninipress.png,,,,,,,,,,
118,Philadelphia Phillies Condenser Adjustable Cap by '47 Brand,Phillies Cap.jpg,PhilliesCap.jpg,,,,,,,,,,
119,Symphonized Earbuds,sq_symphonized_earbuds.png,sq_symphonized_earbuds.png,,,,,,,,,,
120,Ninja Bike Cable Lock,sq_ninja_cable_bikelock.png,sq_ninja_cable_bikelock.png,,,,,,,,,,
